Слово | Перевод | Количество
и | And | 19
для | for | 16
в | V | 12
который | which | 12
ключ | key | 12
это | This | 12
шифрование | encryption | 11
шифр | code | 11
алгоритм | algorithm | 8
буква | letter | 8
исходный | original | 7
преобразование | transformation | 6
зашифровать | encrypt | 6
к | To | 6
как | How | 6
сообщение | message | 6
данные | data | 5
при | at | 5
криптографический | cryptographic | 5
защита | protection | 5
по | by | 5
от | from | 5
процесс | process | 4
вид | view | 4
использовать | use | 4
протокол | protocol | 4
обеспечивать | provide | 4
метод | method | 4
тот | That | 4
же | same | 4
так | So | 4
являться | to appear | 4
с | with | 4
возможность | opportunity | 4
открытый | open | 4
мы | We | 4
или | or | 4
символ | symbol | 4
простой | simple | 4
она | she | 4
обеспечение | security | 3
конфиденциальность | confidentiality | 3
секретный | secret | 3
безопасный | safe | 3
управление | management | 3
безопасность | safety | 3
существовать | exist | 3
два | two | 3
симметричный | symmetric | 3
один | one | 3
расшифровка | decryption | 3
пример | example | 3
он | He | 3
такой | such | 3
случай | case | 3
доступ | access | 3
асимметричный | asymmetric | 3
отправитель | sender | 3
шифровать | encrypt | 3
свой | mine | 3
приватный | private | 3
создание | Creation | 3
сам | alone | 3
на | on | 3
алфавит | alphabet | 3
каждый | every | 3
текст | text | 3
замена | replacement | 3
использоваться | be used | 3
информационный | informational | 3
несанкционированный | unauthorized | 3
данный | given | 3
сдвиг | shift | 3
быть | be | 3
дешифрование | decryption | 2
обратный | back | 2
дать | give | 2
возвращаться | come back | 2
совокупность | totality | 2
шаг | step | 2
правило | rule | 2
выполнение | execution | 2
операция | operation | 2
передача | transfer | 2
через | through | 2
соединение | compound | 2
ключевой | key | 2
хранение | storage | 2
средство | means | 2
реализация | realization | 2
информация | information | 2
криптография | cryptography | 2
главный | main | 2
тип | type | 2
применение | application | 2
финансовый | financial | 2
транзакция | transaction | 2
однако | however | 2
уязвимый | vulnerable | 2
связанный | connected | 2
перехват | interception | 2
злоумышленник | intruder | 2
получать | receive | 2
решать | decide | 2
проблема | problem | 2
использование | usage | 2
публичный | public | 2
первоначально | originally | 2
помощь | help | 2
отправлять | send | 2
декодирование | decoding | 2
получатель | recipient | 2
уникальный | unique | 2
пара | pair | 2
надёжный | reliable | 2
предотвращать | prevent | 2
применяться | apply | 2
цифровой | digital | 2
подпись | signature | 2
другой | another | 2
не | Not | 2
позволить | allow | 2
всякий | any | 2
нехороший | bad | 2
человек | Human | 2
прочитать | read | 2
если | If | 2
они | They | 2
делаться | make | 2
специальный | special | 2
математический | mathematical | 2
логический | logical | 2
некоторый | some | 2
из | from | 2
рассмотреть | consider | 2
что | What | 2
хотеть | want | 2
классический | classical | 2
прошедшее | past | 2
преобразовывать | transform | 2
основа | foundation | 2
можно | Can | 2
произвести | produce | 2
перечень | scroll | 2
весь | all | 2
возможный | possible | 2
включая | including | 2
знак | sign | 2
отдельно | separately | 2
строчный | lowercase | 2
заглавный | title | 2
подстановочный | substitutional | 2
моноалфавитный | monoalphabetic | 2
класс | Class | 2
сводиться | come down | 2
определённый | definite | 2
таблица | table | 2
единственный | the only one | 2
сопоставить | compare | 2
заключаться | to conclude | 2
согласно | according to | 2
достаточно | enough | 2
иметь | have | 2
либо | or | 2
знать | know | 2
относиться | relate | 2
многие | many | 2
способ | way | 2
возникнуть | arise | 2
древность | antiquity | 2
атбаш | horse head | 2
читаться | to be read | 2
вскрытие | opening | 2
подобный | like | 2
частотный | frequency | 2
доступность | availability | 2
за | for | 2
приемлемый | acceptable | 2
время | time | 2
получить | get | 2
требовать | demand | 2
целостность | integrity | 2
актуальность | relevance | 2
непротиворечивость | consistency | 2
защищённость | security | 2
разрушение | destruction | 2
федеральный | federal | 2
закон | law | 2
технология | technology | 2
о | about | 2
обычно | usually | 2
обозначать | designate | 2
где | Where | 2
n | n | 2
rot | rot | 2
сокращение | reduction | 2
слово | word | 2
цезарь | Caesar | 2
разновидность | variety | 2
чтобы | to | 2
необходимый | necessary | 2
равный | equal | 2
количество | quantity | 2
тогда | Then | 2
а | A | 2
шифротекст | ciphertext | 2
соответствовать | correspond | 2
б | b | 2
этот | this | 2
одноалфавитный | monoalphabetic | 2
подстановка | substitution | 2
заменяться | be replaced | 2
фиксировать | fix | 2
